amplicon,sample_name,sample_title,sra_title,block,unique_id,drought,inoculum,fire_freq,species,sra_accession,sra_bioproject,filename_r1,filename_r2,wilting_scale,bud_number,leaf_number,leaf_length,height,nodule_num,shoot_dm,final_root_dm,seqtab_rows,inoculum_site,inoculum_burn_freq,mean_NO3,mean_NH4,mean_P,mean_K,mean_SO4_S,mean_B,mean_OM,mean_pH,mean_EC,mean_Zn,mean_Mn,mean_Cu,mean_Fe,mean_Ca,mean_Mg,mean_Na,mean_TKN,mean_C_N_ratio,mean_Sand,mean_Silt,mean_Clay,host,other_frompreviouscolumn
ITS2,F-A-W6,F-A-W6_ITS,Source inoculum from Site6: sample F-A-W6,NA,NA,NA,NA,NA,NA,SRR27554470,PRJNA1064977,F-A-W6_S302_L001_R1_001.fastq.gz,F-A-W6_S302_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site6
ITS2,F-B-W1,F-B-W1_ITS,Source inoculum from Site1: sample F-B-W1,NA,NA,NA,NA,NA,NA,SRR27554469,PRJNA1064977,F-B-W1_S240_L001_R1_001.fastq.gz,F-B-W1_S240_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site1
ITS2,F-B-W2,F-B-W2_ITS,Source inoculum from Site2: sample F-B-W2,NA,NA,NA,NA,NA,NA,SRR27554468,PRJNA1064977,F-B-W2_S276_L001_R1_001.fastq.gz,F-B-W2_S276_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site2
ITS2,F-B-W3,F-B-W3_ITS,Source inoculum from Site3: sample F-B-W3,NA,NA,NA,NA,NA,NA,SRR27554467,PRJNA1064977,F-B-W3_S301_L001_R1_001.fastq.gz,F-B-W3_S301_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site3
ITS2,F-B-W4,F-B-W4_ITS,Source inoculum from Site4: sample F-B-W4,NA,NA,NA,NA,NA,NA,SRR27554466,PRJNA1064977,F-B-W4_S337_L001_R1_001.fastq.gz,F-B-W4_S337_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site4
ITS2,F-B-W5,F-B-W5_ITS,Source inoculum from Site5: sample F-B-W5,NA,NA,NA,NA,NA,NA,SRR27554501,PRJNA1064977,F-B-W5_S373_L001_R1_001.fastq.gz,F-B-W5_S373_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site5
ITS2,F-B-W6,F-B-W6_ITS,Source inoculum from Site6: sample F-B-W6,NA,NA,NA,NA,NA,NA,SRR27554500,PRJNA1064977,F-B-W6_S314_L001_R1_001.fastq.gz,F-B-W6_S314_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site6
ITS2,F-C-W1,F-C-W1_ITS,Source inoculum from Site1: sample F-C-W1,NA,NA,NA,NA,NA,NA,SRR27554499,PRJNA1064977,F-C-W1_S252_L001_R1_001.fastq.gz,F-C-W1_S252_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site1
ITS2,F-C-W2,F-C-W2_ITS,Source inoculum from Site2: sample F-C-W2,NA,NA,NA,NA,NA,NA,SRR27554498,PRJNA1064977,F-C-W2_S288_L001_R1_001.fastq.gz,F-C-W2_S288_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site2
ITS2,F-C-W3,F-C-W3_ITS,Source inoculum from Site3: sample F-C-W3,NA,NA,NA,NA,NA,NA,SRR27554497,PRJNA1064977,F-C-W3_S313_L001_R1_001.fastq.gz,F-C-W3_S313_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site3
ITS2,F-C-W4,F-C-W4_ITS,Source inoculum from Site4: sample F-C-W4,NA,NA,NA,NA,NA,NA,SRR27554496,PRJNA1064977,F-C-W4_S349_L001_R1_001.fastq.gz,F-C-W4_S349_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site4
ITS2,F-C-W5,F-C-W5_ITS,Source inoculum from Site5: sample F-C-W5,NA,NA,NA,NA,NA,NA,SRR27554495,PRJNA1064977,F-C-W5_S290_L001_R1_001.fastq.gz,F-C-W5_S290_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site5
ITS2,F-C-W6,F-C-W6_ITS,Source inoculum from Site6: sample F-C-W6,NA,NA,NA,NA,NA,NA,SRR27554494,PRJNA1064977,F-C-W6_S326_L001_R1_001.fastq.gz,F-C-W6_S326_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site6
ITS2,F-P-2,F-P-2_ITS,Positive control: sample F-P-2,NA,NA,NA,NA,NA,NA,SRR27554493,PRJNA1064977,F-P-2_S303_L001_R1_001.fastq.gz,F-P-2_S303_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16S,A-W1,A-W1_16S,Source inoculum from Site1: sample A-W1,NA,NA,NA,NA,NA,NA,SRR27554492,PRJNA1064977,A-W1_S36_L001_R1_001.fastq.gz,A-W1_S36_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site1
16S,A-W2,A-W2_16S,Source inoculum from Site2: sample A-W2,NA,NA,NA,NA,NA,NA,SRR27554490,PRJNA1064977,A-W2_S72_L001_R1_001.fastq.gz,A-W2_S72_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site2
16S,A-W3,A-W3_16S,Source inoculum from Site3: sample A-W3,NA,NA,NA,NA,NA,NA,SRR27554489,PRJNA1064977,A-W3_S97_L001_R1_001.fastq.gz,A-W3_S97_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site3
16S,A-W4,A-W4_16S,Source inoculum from Site4: sample A-W4,NA,NA,NA,NA,NA,NA,SRR27554488,PRJNA1064977,A-W4_S133_L001_R1_001.fastq.gz,A-W4_S133_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site4
16S,A-W5,A-W5_16S,Source inoculum from Site5: sample A-W5,NA,NA,NA,NA,NA,NA,SRR27554487,PRJNA1064977,A-W5_S169_L001_R1_001.fastq.gz,A-W5_S169_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site5
16S,A-W6,A-W6_16S,Source inoculum from Site6: sample A-W6,NA,NA,NA,NA,NA,NA,SRR27554486,PRJNA1064977,A-W6_S110_L001_R1_001.fastq.gz,A-W6_S110_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site6
16S,B-W1,B-W1_16S,Source inoculum from Site1: sample B-W1,NA,NA,NA,NA,NA,NA,SRR27554485,PRJNA1064977,B-W1_S48_L001_R1_001.fastq.gz,B-W1_S48_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site1
16S,B-W2,B-W2_16S,Source inoculum from Site2: sample B-W2,NA,NA,NA,NA,NA,NA,SRR27554484,PRJNA1064977,B-W2_S84_L001_R1_001.fastq.gz,B-W2_S84_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site2
16S,B-W3,B-W3_16S,Source inoculum from Site3: sample B-W3,NA,NA,NA,NA,NA,NA,SRR27554483,PRJNA1064977,B-W3_S109_L001_R1_001.fastq.gz,B-W3_S109_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site3
16S,B-W4,B-W4_16S,Source inoculum from Site4: sample B-W4,NA,NA,NA,NA,NA,NA,SRR27554482,PRJNA1064977,B-W4_S145_L001_R1_001.fastq.gz,B-W4_S145_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site4
16S,B-W5,B-W5_16S,Source inoculum from Site5: sample B-W5,NA,NA,NA,NA,NA,NA,SRR27554481,PRJNA1064977,B-W5_S181_L001_R1_001.fastq.gz,B-W5_S181_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site5
16S,B-W6,B-W6_16S,Source inoculum from Site6: sample B-W6,NA,NA,NA,NA,NA,NA,SRR27554479,PRJNA1064977,B-W6_S122_L001_R1_001.fastq.gz,B-W6_S122_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site6
16S,C-W1,C-W1_16S,Source inoculum from Site1: sample C-W1,NA,NA,NA,NA,NA,NA,SRR27554478,PRJNA1064977,C-W1_S60_L001_R1_001.fastq.gz,C-W1_S60_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site1
16S,C-W2,C-W2_16S,Source inoculum from Site2: sample C-W2,NA,NA,NA,NA,NA,NA,SRR27554477,PRJNA1064977,C-W2_S96_L001_R1_001.fastq.gz,C-W2_S96_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site2
16S,C-W3,C-W3_16S,Source inoculum from Site3: sample C-W3,NA,NA,NA,NA,NA,NA,SRR27554476,PRJNA1064977,C-W3_S121_L001_R1_001.fastq.gz,C-W3_S121_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site3
16S,C-W4,C-W4_16S,Source inoculum from Site4: sample C-W4,NA,NA,NA,NA,NA,NA,SRR27554475,PRJNA1064977,C-W4_S157_L001_R1_001.fastq.gz,C-W4_S157_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site4
16S,C-W5,C-W5_16S,Source inoculum from Site5: sample C-W5,NA,NA,NA,NA,NA,NA,SRR27554474,PRJNA1064977,C-W5_S98_L001_R1_001.fastq.gz,C-W5_S98_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site5
16S,C-W6,C-W6_16S,Source inoculum from Site6: sample C-W6,NA,NA,NA,NA,NA,NA,SRR27554473,PRJNA1064977,C-W6_S134_L001_R1_001.fastq.gz,C-W6_S134_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site6
16S,P1,P1_16S,Positive control: sample P1,NA,NA,NA,NA,NA,NA,SRR27554472,PRJNA1064977,P1_S111_L001_R1_001.fastq.gz,P1_S111_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18S,AMF-A-W1,A-W1_18S,Source inoculum from Site1: sample AMF-A-W1,NA,NA,NA,NA,NA,NA,,PRJNA1064977,A-W1_S36_L001_R1_001.fastq.gz,A-W1_S36_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Site1
18S,AMF-A-W2,A-W2_18S,Source inoculum from Site2: sample AMF-A-W2,NA,NA,NA,NA,NA,NA,,PRJNA1064977,A-W2_S72_L001_R1_001.fastq.gz,A-W2_S72_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Site2
18S,AMF-A-W3,A-W3_18S,Source inoculum from Site3: sample AMF-A-W3,NA,NA,NA,NA,NA,NA,,PRJNA1064977,A-W3_S97_L001_R1_001.fastq.gz,A-W3_S97_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Site3
18S,AMF-A-W4,A-W4_18S,Source inoculum from Site4: sample AMF-A-W4,NA,NA,NA,NA,NA,NA,,PRJNA1064977,A-W4_S133_L001_R1_001.fastq.gz,A-W4_S133_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Site4
18S,AMF-A-W5,A-W5_18S,Source inoculum from Site5: sample AMF-A-W5,NA,NA,NA,NA,NA,NA,,PRJNA1064977,A-W5_S169_L001_R1_001.fastq.gz,A-W5_S169_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Site5
18S,AMF-A-W6,A-W6_18S,Source inoculum from Site6: sample AMF-A-W6,NA,NA,NA,NA,NA,NA,,PRJNA1064977,A-W6_S110_L001_R1_001.fastq.gz,A-W6_S110_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Site6
18S,AMF-B-W1,B-W1_18S,Source inoculum from Site1: sample AMF-B-W1,NA,NA,NA,NA,NA,NA,,PRJNA1064977,B-W1_S48_L001_R1_001.fastq.gz,B-W1_S48_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Site1
18S,AMF-B-W2,B-W2_18S,Source inoculum from Site2: sample AMF-B-W2,NA,NA,NA,NA,NA,NA,,PRJNA1064977,B-W2_S84_L001_R1_001.fastq.gz,B-W2_S84_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Site2
18S,AMF-B-W3,B-W3_18S,Source inoculum from Site3: sample AMF-B-W3,NA,NA,NA,NA,NA,NA,,PRJNA1064977,B-W3_S109_L001_R1_001.fastq.gz,B-W3_S109_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Site3
18S,AMF-B-W4,B-W4_18S,Source inoculum from Site4: sample AMF-B-W4,NA,NA,NA,NA,NA,NA,,PRJNA1064977,B-W4_S145_L001_R1_001.fastq.gz,B-W4_S145_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Site4
18S,AMF-B-W6,B-W6_18S,Source inoculum from Site6: sample AMF-B-W6,NA,NA,NA,NA,NA,NA,,PRJNA1064977,B-W6_S122_L001_R1_001.fastq.gz,B-W6_S122_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Site6
18S,AMF-C-W1,C-W1_18S,Source inoculum from Site1: sample AMF-C-W1,NA,NA,NA,NA,NA,NA,,PRJNA1064977,C-W1_S60_L001_R1_001.fastq.gz,C-W1_S60_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Site1
18S,AMF-C-W2,C-W2_18S,Source inoculum from Site2: sample AMF-C-W2,NA,NA,NA,NA,NA,NA,,PRJNA1064977,C-W2_S96_L001_R1_001.fastq.gz,C-W2_S96_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Site2
18S,AMF-C-W3,C-W3_18S,Source inoculum from Site3: sample AMF-C-W3,NA,NA,NA,NA,NA,NA,,PRJNA1064977,C-W3_S121_L001_R1_001.fastq.gz,C-W3_S121_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Site3
18S,AMF-C-W4,C-W4_18S,Source inoculum from Site4: sample AMF-C-W4,NA,NA,NA,NA,NA,NA,,PRJNA1064977,C-W4_S157_L001_R1_001.fastq.gz,C-W4_S157_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Site4
18S,AMF-C-W5,C-W5_18S,Source inoculum from Site5: sample AMF-C-W5,NA,NA,NA,NA,NA,NA,,PRJNA1064977,C-W5_S98_L001_R1_001.fastq.gz,C-W5_S98_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Site5
18S,AMF-C-W6,C-W6_18S,Source inoculum from Site6: sample AMF-C-W6,NA,NA,NA,NA,NA,NA,,PRJNA1064977,C-W6_S134_L001_R1_001.fastq.gz,C-W6_S134_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Site6
18S,AMF-N-1,N-1_18S,Negative control: sample AMF-N-1,NA,NA,NA,NA,NA,NA,,PRJNA1064977,N-1_S3_L001_R1_001.fastq.gz,N-1_S3_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
18S,AMF-N-2,N-2_18S,Negative control: sample AMF-N-2,NA,NA,NA,NA,NA,NA,,PRJNA1064977,N-2_S44_L001_R1_001.fastq.gz,N-2_S44_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
18S,AMF-N-3,N-3_18S,Negative control: sample AMF-N-3,NA,NA,NA,NA,NA,NA,,PRJNA1064977,N-3_S24_L001_R1_001.fastq.gz,N-3_S24_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
18S,AMF-Neg1,Neg1_18S,Negative control: sample AMF-Neg1,NA,NA,NA,NA,NA,NA,,PRJNA1064977,Neg1_S147_L001_R1_001.fastq.gz,Neg1_S147_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
18S,AMF-Neg2,Neg2_18S,Negative control: sample AMF-Neg2,NA,NA,NA,NA,NA,NA,,PRJNA1064977,Neg2_S159_L001_R1_001.fastq.gz,Neg2_S159_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
18S,AMF-Neg3,Neg3_18S,Negative control: sample AMF-Neg3,NA,NA,NA,NA,NA,NA,,PRJNA1064977,Neg3_S171_L001_R1_001.fastq.gz,Neg3_S171_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
18S,AMF-Neg4,Neg4_18S,Negative control: sample AMF-Neg4,NA,NA,NA,NA,NA,NA,,PRJNA1064977,Neg4_S183_L001_R1_001.fastq.gz,Neg4_S183_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
18S,AMF-Neg5,Neg5_18S,Negative control: sample AMF-Neg5,NA,NA,NA,NA,NA,NA,,PRJNA1064977,Neg5_S184_L001_R1_001.fastq.gz,Neg5_S184_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
18S,AMF-P-3,P-3_18S,Positive control: sample AMF-P-3,NA,NA,NA,NA,NA,NA,,PRJNA1064977,P-3_S99_L001_R1_001.fastq.gz,P-3_S99_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
18S,AMF-P-4,P-4_18S,Positive control: sample AMF-P-4,NA,NA,NA,NA,NA,NA,,PRJNA1064977,P-4_S111_L001_R1_001.fastq.gz,P-4_S111_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
18S,AMF-P-5,P-5_18S,Positive control: sample AMF-P-5,NA,NA,NA,NA,NA,NA,,PRJNA1064977,P-5_S123_L001_R1_001.fastq.gz,P-5_S123_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
18S,AMF-Pos1,Pos1_18S,Positive control: sample AMF-Pos1,NA,NA,NA,NA,NA,NA,,PRJNA1064977,Pos1_S146_L001_R1_001.fastq.gz,Pos1_S146_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
18S,AMF-Pos2,Pos2_18S,Positive control: sample AMF-Pos2,NA,NA,NA,NA,NA,NA,,PRJNA1064977,Pos2_S158_L001_R1_001.fastq.gz,Pos2_S158_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
